Iteration,train_loss,train_acc,test_loss,test_acc
1,3.281403764832472,0.17059125446103074,3.193890674523845,0.2574437539332914
2,3.0715553055583955,0.36947827525998694,3.0717030653344377,0.35885383889238515
3,2.90315750291257,0.5511465568517595,2.957909184930608,0.49632237256135936
4,2.7195277468672074,0.7335181703058444,2.888711701405731,0.5739655443675268
5,2.598742545861011,0.8517300884531256,2.8408831762322246,0.6155404342353682
6,2.5306681275683385,0.9135897146859051,2.8543514974316837,0.597712791063562
7,2.4816550490925615,0.9545928230169998,2.8129675608899625,0.6354920547514159
8,2.4602990931151507,0.9743214916151809,2.8260819880447725,0.6193065607300189
9,2.4388723007262754,0.9924977934686673,2.8006340323040666,0.6442632945248584
10,2.4343892292753324,0.9945388349514563,2.791250531368844,0.6472820956576464
11,2.4318615007695117,0.9959868711385702,2.7921696570476247,0.6427981434864696
12,2.430649031607955,0.9964281774051191,2.8005114956574295,0.6393368470736311
13,2.4294698455116968,0.9972418358340689,2.799733213391073,0.6365835431088734
14,2.428922053258817,0.9975314430714917,2.7860406957533916,0.6457677784770296
15,2.428248726574594,0.9978378391342723,2.7889950275421143,0.6472132630585274
16,2.4277946875354197,0.9982485657546337,2.776151933333947,0.655483008181246
17,2.427498679821826,0.998276147396293,2.773353245814991,0.6612649465072373
18,2.42715640922405,0.9985243821712269,2.7774391258340576,0.6544406859660163
19,2.4269251413084403,0.9987312444836717,2.7561279204448415,0.6762016205160478
20,2.4269055038664265,0.9986347087378641,2.7718801855515802,0.6646967432347388
21,2.4268911720269144,0.9986209179170344,2.7816729734647643,0.6569088263058528
22,2.426520205133275,0.9989243159752869,2.750378661218719,0.6857300188797986
23,2.4264698680901255,0.9988829435127978,2.752986033057326,0.685002359974827
24,2.4264270769003105,0.9989105251544572,2.76990826959652,0.6684923694147262
25,2.4265651972232827,0.9986622903795234,2.7473065769094727,0.690449968533669
26,2.426026661419174,0.9992415048543689,2.762232295216968,0.6771652769037131
27,2.4261839341401843,0.9989932700794352,2.76444949242512,0.6716488357457521
28,2.4261056730837707,0.9991449691085613,2.7572304939908605,0.6792204216488358
29,2.426155880501285,0.9990622241835834,2.7511998346723647,0.686801840780365
30,2.4257848492156904,0.9994345763459841,2.7761725822734413,0.6557485053492763
31,2.4256792859702854,0.9995035304501324,2.707646625157495,0.7305007079924482
32,2.4256802968818953,0.9994483671668137,2.742975867267222,0.6864478445563248
33,2.425839380363606,0.9992552956751986,2.749128573791571,0.6826030522341096
34,2.425992733803031,0.9991311782877317,2.7585517341344894,0.6724649937067338
35,2.425825528096858,0.9993242497793469,2.7816546194353817,0.6485899150409062
36,2.4257145567689444,0.9994345763459841,2.7747795403266267,0.6559353366897419
37,2.425953896405522,0.9991311782877317,2.7648959348905455,0.6640575833857771
38,2.4259922344497316,0.9991311782877317,2.755483447717675,0.6776962712397735
39,2.425698854180426,0.9993656222418358,2.765467957778124,0.6641362492133418
40,2.4257613789793253,0.9992690864960282,2.747163348260955,0.6812165670232851
41,2.4256255382578247,0.9994897396293028,2.7470707651802098,0.6826718848332285
42,2.425725608827367,0.9993380406001765,2.7463177195729664,0.685877517306482
43,2.425638375614769,0.9994621579876434,2.7004070492042844,0.7331950125865324
44,2.425429299355395,0.9996138570167696,2.722979937355949,0.706635462555066
45,2.425624546495456,0.9993794130626655,2.737566760983236,0.6943045940843298
