Iteration,train_loss,train_acc,test_loss,test_acc
1,2.559582905869347,0.28125359919378057,35.70093439838304,0.05850770925110132
2,0.8175521672627257,0.7131100633458105,49.81651520849185,0.02801486784140969
3,0.30640077398427934,0.8939569536423841,46.451152624696846,0.025674559471365637
4,0.1250344477569228,0.9583609271523179,34.508520968842,0.05196861233480176
5,0.0705945072326579,0.9769177704194261,39.478101356063945,0.040267070484581495
6,0.054910357821158134,0.9834850993377483,17.99351328780407,0.032420154185022025
7,0.043726341944703394,0.9866421921489588,20.269643486711228,0.055892070484581495
8,0.04605195623764431,0.9866997792494481,12.033244859115404,0.04453469162995595
9,0.03921498511302404,0.9885569632402342,8.52169085862392,0.11391795154185022
10,0.03627346197121867,0.9893487858719647,10.015464038615233,0.15411618942731278
11,0.03684675595743009,0.9895971302428256,17.104578978918337,0.06194933920704846
12,0.032353670353382914,0.9910182119205299,9.374451908168298,0.10049559471365639
13,0.035841923388802197,0.9894315673289183,10.692553002052966,0.1232103524229075
14,0.027403453084906573,0.992439293598234,17.925195644768987,0.05093612334801762
15,0.034398202522103745,0.9901076158940397,20.65652052968381,0.051762114537444934
16,0.028785082959944166,0.9918406276993954,9.262870990549708,0.12486233480176212
17,0.030175231694653488,0.9915095018715808,7.029970733612781,0.13849118942731278
18,0.021548545259559473,0.9942190949227373,8.555580276518583,0.14750825991189428
19,0.03044608648800626,0.9917770419426049,14.686421814482571,0.061329845814977975
20,0.028081549942165714,0.9922047461368654,13.319449653034816,0.07034691629955947
